"ID";"RegioS";"Perioden";"TotaleBevolking_1";"Code_289";"Naam_290"
"140";"PV20  ";"1995JJ00";"  557995";"          ";"                                                  "
"141";"PV20  ";"1996JJ00";"  558113";"          ";"                                                  "
"142";"PV20  ";"1997JJ00";"  558124";"          ";"                                                  "
"143";"PV20  ";"1998JJ00";"  558017";"          ";"                                                  "
"144";"PV20  ";"1999JJ00";"  559988";"          ";"                                                  "
"145";"PV20  ";"2000JJ00";"  562646";"          ";"                                                  "
"146";"PV20  ";"2001JJ00";"  566489";"          ";"                                                  "
"147";"PV20  ";"2002JJ00";"  570480";"          ";"                                                  "
"148";"PV20  ";"2003JJ00";"  572997";"          ";"                                                  "
"149";"PV20  ";"2004JJ00";"  574384";"          ";"                                                  "
"150";"PV20  ";"2005JJ00";"  575072";"          ";"                                                  "
"151";"PV20  ";"2006JJ00";"  574042";"          ";"                                                  "
"152";"PV20  ";"2007JJ00";"  573614";"          ";"                                                  "
"153";"PV20  ";"2008JJ00";"  573459";"          ";"                                                  "
"154";"PV20  ";"2009JJ00";"  574092";"          ";"                                                  "
"155";"PV20  ";"2010JJ00";"  576668";"          ";"                                                  "
"156";"PV20  ";"2011JJ00";"  579036";"          ";"                                                  "
"157";"PV20  ";"2012JJ00";"  580875";"          ";"                                                  "
"158";"PV20  ";"2013JJ00";"  581705";"          ";"                                                  "
"159";"PV20  ";"2014JJ00";"  582728";"          ";"                                                  "
"160";"PV20  ";"2015JJ00";"  583942";"          ";"                                                  "
"161";"PV20  ";"2016JJ00";"  583721";"          ";"                                                  "
"162";"PV20  ";"2017JJ00";"  583581";"          ";"                                                  "
"163";"PV20  ";"2018JJ00";"  582944";"          ";"                                                  "
"164";"PV20  ";"2019JJ00";"  583990";"          ";"                                                  "
"165";"PV20  ";"2020JJ00";"  585866";"          ";"                                                  "
"166";"PV20  ";"2021JJ00";"  586937";"          ";"                                                  "
"167";"PV20  ";"2022JJ00";"  590170";"          ";"                                                  "
"168";"PV21  ";"1995JJ00";"  609579";"          ";"                                                  "
"169";"PV21  ";"1996JJ00";"  612028";"          ";"                                                  "
"170";"PV21  ";"1997JJ00";"  615045";"          ";"                                                  "
"171";"PV21  ";"1998JJ00";"  618115";"          ";"                                                  "
"172";"PV21  ";"1999JJ00";"  621222";"          ";"                                                  "
"173";"PV21  ";"2000JJ00";"  624500";"          ";"                                                  "
"174";"PV21  ";"2001JJ00";"  630539";"          ";"                                                  "
"175";"PV21  ";"2002JJ00";"  636184";"          ";"                                                  "
"176";"PV21  ";"2003JJ00";"  639787";"          ";"                                                  "
"177";"PV21  ";"2004JJ00";"  642066";"          ";"                                                  "
"178";"PV21  ";"2005JJ00";"  642977";"          ";"                                                  "
"179";"PV21  ";"2006JJ00";"  642230";"          ";"                                                  "
"180";"PV21  ";"2007JJ00";"  642209";"          ";"                                                  "
"181";"PV21  ";"2008JJ00";"  643189";"          ";"                                                  "
"182";"PV21  ";"2009JJ00";"  644811";"          ";"                                                  "
"183";"PV21  ";"2010JJ00";"  646305";"          ";"                                                  "
"184";"PV21  ";"2011JJ00";"  647282";"          ";"                                                  "
"185";"PV21  ";"2012JJ00";"  647214";"          ";"                                                  "
"186";"PV21  ";"2013JJ00";"  646862";"          ";"                                                  "
"187";"PV21  ";"2014JJ00";"  646317";"          ";"                                                  "
"188";"PV21  ";"2015JJ00";"  646257";"          ";"                                                  "
"189";"PV21  ";"2016JJ00";"  646040";"          ";"                                                  "
"190";"PV21  ";"2017JJ00";"  646874";"          ";"                                                  "
"191";"PV21  ";"2018JJ00";"  647268";"          ";"                                                  "
"192";"PV21  ";"2019JJ00";"  647672";"          ";"                                                  "
"193";"PV21  ";"2020JJ00";"  649957";"          ";"                                                  "
"194";"PV21  ";"2021JJ00";"  651435";"          ";"                                                  "
"195";"PV21  ";"2022JJ00";"  654019";"          ";"                                                  "
"196";"PV22  ";"1995JJ00";"  454864";"          ";"                                                  "
"197";"PV22  ";"1996JJ00";"  457316";"          ";"                                                  "
"198";"PV22  ";"1997JJ00";"  460817";"          ";"                                                  "
"199";"PV22  ";"1998JJ00";"  464672";"          ";"                                                  "
"200";"PV22  ";"1999JJ00";"  467093";"          ";"                                                  "
"201";"PV22  ";"2000JJ00";"  469806";"          ";"                                                  "
"202";"PV22  ";"2001JJ00";"  474506";"          ";"                                                  "
"203";"PV22  ";"2002JJ00";"  478799";"          ";"                                                  "
"204";"PV22  ";"2003JJ00";"  481254";"          ";"                                                  "
"205";"PV22  ";"2004JJ00";"  482415";"          ";"                                                  "
"206";"PV22  ";"2005JJ00";"  483369";"          ";"                                                  "
"207";"PV22  ";"2006JJ00";"  484481";"          ";"                                                  "
"208";"PV22  ";"2007JJ00";"  486197";"          ";"                                                  "
"209";"PV22  ";"2008JJ00";"  488135";"          ";"                                                  "
"210";"PV22  ";"2009JJ00";"  489918";"          ";"                                                  "
"211";"PV22  ";"2010JJ00";"  490981";"          ";"                                                  "
"212";"PV22  ";"2011JJ00";"  491411";"          ";"                                                  "
"213";"PV22  ";"2012JJ00";"  490807";"          ";"                                                  "
"214";"PV22  ";"2013JJ00";"  489918";"          ";"                                                  "
"215";"PV22  ";"2014JJ00";"  488988";"          ";"                                                  "
"216";"PV22  ";"2015JJ00";"  488576";"          ";"                                                  "
"217";"PV22  ";"2016JJ00";"  488629";"          ";"                                                  "
"218";"PV22  ";"2017JJ00";"  491792";"          ";"                                                  "
"219";"PV22  ";"2018JJ00";"  492100";"          ";"                                                  "
"220";"PV22  ";"2019JJ00";"  492167";"          ";"                                                  "
"221";"PV22  ";"2020JJ00";"  493682";"          ";"                                                  "
"222";"PV22  ";"2021JJ00";"  494771";"          ";"                                                  "
"223";"PV22  ";"2022JJ00";"  497743";"          ";"                                                  "
"224";"PV23  ";"1995JJ00";" 1050389";"          ";"                                                  "
"225";"PV23  ";"1996JJ00";" 1053966";"          ";"                                                  "
"226";"PV23  ";"1997JJ00";" 1057944";"          ";"                                                  "
"227";"PV23  ";"1998JJ00";" 1063527";"          ";"                                                  "
"228";"PV23  ";"1999JJ00";" 1070444";"          ";"                                                  "
"229";"PV23  ";"2000JJ00";" 1077625";"          ";"                                                  "
"230";"PV23  ";"2001JJ00";" 1086280";"          ";"                                                  "
"231";"PV23  ";"2002JJ00";" 1094032";"          ";"                                                  "
"232";"PV23  ";"2003JJ00";" 1100677";"          ";"                                                  "
"233";"PV23  ";"2004JJ00";" 1105512";"          ";"                                                  "
"234";"PV23  ";"2005JJ00";" 1109432";"          ";"                                                  "
"235";"PV23  ";"2006JJ00";" 1113529";"          ";"                                                  "
"236";"PV23  ";"2007JJ00";" 1116374";"          ";"                                                  "
"237";"PV23  ";"2008JJ00";" 1119994";"          ";"                                                  "
"238";"PV23  ";"2009JJ00";" 1125435";"          ";"                                                  "
"239";"PV23  ";"2010JJ00";" 1130345";"          ";"                                                  "
"240";"PV23  ";"2011JJ00";" 1134465";"          ";"                                                  "
"241";"PV23  ";"2012JJ00";" 1137668";"          ";"                                                  "
"242";"PV23  ";"2013JJ00";" 1139350";"          ";"                                                  "
"243";"PV23  ";"2014JJ00";" 1139697";"          ";"                                                  "
"244";"PV23  ";"2015JJ00";" 1140652";"          ";"                                                  "
"245";"PV23  ";"2016JJ00";" 1144280";"          ";"                                                  "
"246";"PV23  ";"2017JJ00";" 1147687";"          ";"                                                  "
"247";"PV23  ";"2018JJ00";" 1151501";"          ";"                                                  "
"248";"PV23  ";"2019JJ00";" 1156431";"          ";"                                                  "
"249";"PV23  ";"2020JJ00";" 1162406";"          ";"                                                  "
"250";"PV23  ";"2021JJ00";" 1166533";"          ";"                                                  "
"251";"PV23  ";"2022JJ00";" 1171910";"          ";"                                                  "
"252";"PV24  ";"1995JJ00";"  262325";"          ";"                                                  "
"253";"PV24  ";"1996JJ00";"  272843";"          ";"                                                  "
"254";"PV24  ";"1997JJ00";"  281472";"          ";"                                                  "
"255";"PV24  ";"1998JJ00";"  293286";"          ";"                                                  "
"256";"PV24  ";"1999JJ00";"  306468";"          ";"                                                  "
"257";"PV24  ";"2000JJ00";"  317206";"          ";"                                                  "
"258";"PV24  ";"2001JJ00";"  328936";"          ";"                                                  "
"259";"PV24  ";"2002JJ00";"  341721";"          ";"                                                  "
"260";"PV24  ";"2003JJ00";"  351680";"          ";"                                                  "
"261";"PV24  ";"2004JJ00";"  359904";"          ";"                                                  "
"262";"PV24  ";"2005JJ00";"  365859";"          ";"                                                  "
"263";"PV24  ";"2006JJ00";"  370656";"          ";"                                                  "
"264";"PV24  ";"2007JJ00";"  374424";"          ";"                                                  "
"265";"PV24  ";"2008JJ00";"  378688";"          ";"                                                  "
"266";"PV24  ";"2009JJ00";"  383449";"          ";"                                                  "
"267";"PV24  ";"2010JJ00";"  387881";"          ";"                                                  "
"268";"PV24  ";"2011JJ00";"  391967";"          ";"                                                  "
"269";"PV24  ";"2012JJ00";"  395525";"          ";"                                                  "
"270";"PV24  ";"2013JJ00";"  398441";"          ";"                                                  "
"271";"PV24  ";"2014JJ00";"  399893";"          ";"                                                  "
"272";"PV24  ";"2015JJ00";"  401791";"          ";"                                                  "
"273";"PV24  ";"2016JJ00";"  404068";"          ";"                                                  "
"274";"PV24  ";"2017JJ00";"  407818";"          ";"                                                  "
"275";"PV24  ";"2018JJ00";"  411670";"          ";"                                                  "
"276";"PV24  ";"2019JJ00";"  416546";"          ";"                                                  "
"277";"PV24  ";"2020JJ00";"  423021";"          ";"                                                  "
"278";"PV24  ";"2021JJ00";"  428226";"          ";"                                                  "
"279";"PV24  ";"2022JJ00";"  434771";"          ";"                                                  "
"280";"PV25  ";"1995JJ00";" 1864732";"          ";"                                                  "
"281";"PV25  ";"1996JJ00";" 1876299";"          ";"                                                  "
"282";"PV25  ";"1997JJ00";" 1886109";"          ";"                                                  "
"283";"PV25  ";"1998JJ00";" 1895656";"          ";"                                                  "
"284";"PV25  ";"1999JJ00";" 1906778";"          ";"                                                  "
"285";"PV25  ";"2000JJ00";" 1919158";"          ";"                                                  "
"286";"PV25  ";"2001JJ00";" 1934314";"          ";"                                                  "
"287";"PV25  ";"2002JJ00";" 1949233";"          ";"                                                  "
"288";"PV25  ";"2003JJ00";" 1960422";"          ";"                                                  "
"289";"PV25  ";"2004JJ00";" 1966929";"          ";"                                                  "
"290";"PV25  ";"2005JJ00";" 1972010";"          ";"                                                  "
"291";"PV25  ";"2006JJ00";" 1975704";"          ";"                                                  "
"292";"PV25  ";"2007JJ00";" 1979059";"          ";"                                                  "
"293";"PV25  ";"2008JJ00";" 1983869";"          ";"                                                  "
"294";"PV25  ";"2009JJ00";" 1991062";"          ";"                                                  "
"295";"PV25  ";"2010JJ00";" 1998936";"          ";"                                                  "
"296";"PV25  ";"2011JJ00";" 2004671";"          ";"                                                  "
"297";"PV25  ";"2012JJ00";" 2010745";"          ";"                                                  "
"298";"PV25  ";"2013JJ00";" 2015791";"          ";"                                                  "
"299";"PV25  ";"2014JJ00";" 2019692";"          ";"                                                  "
"300";"PV25  ";"2015JJ00";" 2026578";"          ";"                                                  "
"301";"PV25  ";"2016JJ00";" 2035351";"          ";"                                                  "
"302";"PV25  ";"2017JJ00";" 2047901";"          ";"                                                  "
"303";"PV25  ";"2018JJ00";" 2060103";"          ";"                                                  "
"304";"PV25  ";"2019JJ00";" 2071972";"          ";"                                                  "
"305";"PV25  ";"2020JJ00";" 2085952";"          ";"                                                  "
"306";"PV25  ";"2021JJ00";" 2096603";"          ";"                                                  "
"307";"PV25  ";"2022JJ00";" 2110472";"          ";"                                                  "
"308";"PV26  ";"1995JJ00";" 1063460";"          ";"                                                  "
"309";"PV26  ";"1996JJ00";" 1070585";"          ";"                                                  "
"310";"PV26  ";"1997JJ00";" 1079428";"          ";"                                                  "
"311";"PV26  ";"1998JJ00";" 1088621";"          ";"                                                  "
"312";"PV26  ";"1999JJ00";" 1098722";"          ";"                                                  "
"313";"PV26  ";"2000JJ00";" 1107849";"          ";"                                                  "
"314";"PV26  ";"2001JJ00";" 1117997";"          ";"                                                  "
"315";"PV26  ";"2002JJ00";" 1139925";"          ";"                                                  "
"316";"PV26  ";"2003JJ00";" 1152218";"          ";"                                                  "
"317";"PV26  ";"2004JJ00";" 1162258";"          ";"                                                  "
"318";"PV26  ";"2005JJ00";" 1171291";"          ";"                                                  "
"319";"PV26  ";"2006JJ00";" 1180039";"          ";"                                                  "
"320";"PV26  ";"2007JJ00";" 1190604";"          ";"                                                  "
"321";"PV26  ";"2008JJ00";" 1201350";"          ";"                                                  "
"322";"PV26  ";"2009JJ00";" 1210869";"          ";"                                                  "
"323";"PV26  ";"2010JJ00";" 1220910";"          ";"                                                  "
"324";"PV26  ";"2011JJ00";" 1228794";"          ";"                                                  "
"325";"PV26  ";"2012JJ00";" 1237117";"          ";"                                                  "
"326";"PV26  ";"2013JJ00";" 1245294";"          ";"                                                  "
"327";"PV26  ";"2014JJ00";" 1253672";"          ";"                                                  "
"328";"PV26  ";"2015JJ00";" 1263572";"          ";"                                                  "
"329";"PV26  ";"2016JJ00";" 1273613";"          ";"                                                  "
"330";"PV26  ";"2017JJ00";" 1284504";"          ";"                                                  "
"331";"PV26  ";"2018JJ00";" 1295484";"          ";"                                                  "
"332";"PV26  ";"2019JJ00";" 1342158";"          ";"                                                  "
"333";"PV26  ";"2020JJ00";" 1354834";"          ";"                                                  "
"334";"PV26  ";"2021JJ00";" 1361153";"          ";"                                                  "
"335";"PV26  ";"2022JJ00";" 1369873";"          ";"                                                  "
"336";"PV27  ";"1995JJ00";" 2463611";"          ";"                                                  "
"337";"PV27  ";"1996JJ00";" 2468432";"          ";"                                                  "
"338";"PV27  ";"1997JJ00";" 2474754";"          ";"                                                  "
"339";"PV27  ";"1998JJ00";" 2486105";"          ";"                                                  "
"340";"PV27  ";"1999JJ00";" 2503158";"          ";"                                                  "
"341";"PV27  ";"2000JJ00";" 2518354";"          ";"                                                  "
"342";"PV27  ";"2001JJ00";" 2534599";"          ";"                                                  "
"343";"PV27  ";"2002JJ00";" 2559477";"          ";"                                                  "
"344";"PV27  ";"2003JJ00";" 2573120";"          ";"                                                  "
"345";"PV27  ";"2004JJ00";" 2587265";"          ";"                                                  "
"346";"PV27  ";"2005JJ00";" 2599103";"          ";"                                                  "
"347";"PV27  ";"2006JJ00";" 2606584";"          ";"                                                  "
"348";"PV27  ";"2007JJ00";" 2613070";"          ";"                                                  "
"349";"PV27  ";"2008JJ00";" 2626163";"          ";"                                                  "
"350";"PV27  ";"2009JJ00";" 2646445";"          ";"                                                  "
"351";"PV27  ";"2010JJ00";" 2669084";"          ";"                                                  "
"352";"PV27  ";"2011JJ00";" 2691477";"          ";"                                                  "
"353";"PV27  ";"2012JJ00";" 2709822";"          ";"                                                  "
"354";"PV27  ";"2013JJ00";" 2724300";"          ";"                                                  "
"355";"PV27  ";"2014JJ00";" 2741369";"          ";"                                                  "
"356";"PV27  ";"2015JJ00";" 2761929";"          ";"                                                  "
"357";"PV27  ";"2016JJ00";" 2784854";"          ";"                                                  "
"358";"PV27  ";"2017JJ00";" 2809483";"          ";"                                                  "
"359";"PV27  ";"2018JJ00";" 2831182";"          ";"                                                  "
"360";"PV27  ";"2019JJ00";" 2853359";"          ";"                                                  "
"361";"PV27  ";"2020JJ00";" 2879527";"          ";"                                                  "
"362";"PV27  ";"2021JJ00";" 2888486";"          ";"                                                  "
"363";"PV27  ";"2022JJ00";" 2909827";"          ";"                                                  "
"364";"PV28  ";"1995JJ00";" 3325064";"          ";"                                                  "
"365";"PV28  ";"1996JJ00";" 3332860";"          ";"                                                  "
"366";"PV28  ";"1997JJ00";" 3344695";"          ";"                                                  "
"367";"PV28  ";"1998JJ00";" 3359047";"          ";"                                                  "
"368";"PV28  ";"1999JJ00";" 3378770";"          ";"                                                  "
"369";"PV28  ";"2000JJ00";" 3397744";"          ";"                                                  "
"370";"PV28  ";"2001JJ00";" 3420700";"          ";"                                                  "
"371";"PV28  ";"2002JJ00";" 3423780";"          ";"                                                  "
"372";"PV28  ";"2003JJ00";" 3439982";"          ";"                                                  "
"373";"PV28  ";"2004JJ00";" 3451942";"          ";"                                                  "
"374";"PV28  ";"2005JJ00";" 3458381";"          ";"                                                  "
"375";"PV28  ";"2006JJ00";" 3458875";"          ";"                                                  "
"376";"PV28  ";"2007JJ00";" 3455097";"          ";"                                                  "
"377";"PV28  ";"2008JJ00";" 3461435";"          ";"                                                  "
"378";"PV28  ";"2009JJ00";" 3481558";"          ";"                                                  "
"379";"PV28  ";"2010JJ00";" 3505611";"          ";"                                                  "
"380";"PV28  ";"2011JJ00";" 3528324";"          ";"                                                  "
"381";"PV28  ";"2012JJ00";" 3552407";"          ";"                                                  "
"382";"PV28  ";"2013JJ00";" 3563935";"          ";"                                                  "
"383";"PV28  ";"2014JJ00";" 3577032";"          ";"                                                  "
"384";"PV28  ";"2015JJ00";" 3600011";"          ";"                                                  "
"385";"PV28  ";"2016JJ00";" 3622303";"          ";"                                                  "
"386";"PV28  ";"2017JJ00";" 3650222";"          ";"                                                  "
"387";"PV28  ";"2018JJ00";" 3681044";"          ";"                                                  "
"388";"PV28  ";"2019JJ00";" 3673893";"          ";"                                                  "
"389";"PV28  ";"2020JJ00";" 3708696";"          ";"                                                  "
"390";"PV28  ";"2021JJ00";" 3726050";"          ";"                                                  "
"391";"PV28  ";"2022JJ00";" 3753944";"          ";"                                                  "
"392";"PV29  ";"1995JJ00";"  365846";"          ";"                                                  "
"393";"PV29  ";"1996JJ00";"  367354";"          ";"                                                  "
"394";"PV29  ";"1997JJ00";"  368426";"          ";"                                                  "
"395";"PV29  ";"1998JJ00";"  369949";"          ";"                                                  "
"396";"PV29  ";"1999JJ00";"  370571";"          ";"                                                  "
"397";"PV29  ";"2000JJ00";"  371866";"          ";"                                                  "
"398";"PV29  ";"2001JJ00";"  374920";"          ";"                                                  "
"399";"PV29  ";"2002JJ00";"  377235";"          ";"                                                  "
"400";"PV29  ";"2003JJ00";"  378348";"          ";"                                                  "
"401";"PV29  ";"2004JJ00";"  379028";"          ";"                                                  "
"402";"PV29  ";"2005JJ00";"  379978";"          ";"                                                  "
"403";"PV29  ";"2006JJ00";"  380186";"          ";"                                                  "
"404";"PV29  ";"2007JJ00";"  380497";"          ";"                                                  "
"405";"PV29  ";"2008JJ00";"  380585";"          ";"                                                  "
"406";"PV29  ";"2009JJ00";"  380984";"          ";"                                                  "
"407";"PV29  ";"2010JJ00";"  381409";"          ";"                                                  "
"408";"PV29  ";"2011JJ00";"  381530";"          ";"                                                  "
"409";"PV29  ";"2012JJ00";"  381407";"          ";"                                                  "
"410";"PV29  ";"2013JJ00";"  381077";"          ";"                                                  "
"411";"PV29  ";"2014JJ00";"  380621";"          ";"                                                  "
"412";"PV29  ";"2015JJ00";"  380726";"          ";"                                                  "
